duration_in_minutes,total_cases_produced_for_day,total_cases_shipped_for_day,line_LOU1,line_LOU2,line_LOU3,line_LOU4,line_LOU5,item_type_SHRF,item_type_LABL,storage_location_type_RSR,storage_location_type_SSR
10.98,915200.0,177948,0,1,0,0,0,1,0,1,0
13.07,67710.0,177948,0,1,0,0,0,1,0,1,0
13.07,95307.0,177948,0,1,0,0,0,1,0,1,0
13.07,915200.0,177948,0,1,0,0,0,1,0,1,0
21.5,18387.0,242648,0,1,0,0,0,1,0,0,1
21.5,59455.0,242648,0,1,0,0,0,1,0,0,1
21.5,35294.0,242648,0,1,0,0,0,1,0,0,1
21.5,486189.0,242648,0,1,0,0,0,1,0,0,1
53.1,18387.0,242648,0,1,0,0,0,1,0,1,0
53.1,59455.0,242648,0,1,0,0,0,1,0,1,0
53.1,35294.0,242648,0,1,0,0,0,1,0,1,0
53.1,486189.0,242648,0,1,0,0,0,1,0,1,0
17.98,18387.0,242648,0,1,0,0,0,1,0,1,0
17.98,59455.0,242648,0,1,0,0,0,1,0,1,0
17.98,35294.0,242648,0,1,0,0,0,1,0,1,0
17.98,486189.0,242648,0,1,0,0,0,1,0,1,0
5.63,118480.0,192352,0,1,0,0,0,1,0,1,0
5.63,52553.0,192352,0,1,0,0,0,1,0,1,0
5.63,72302.0,192352,0,1,0,0,0,1,0,1,0
5.63,936672.0,192352,0,1,0,0,0,1,0,1,0
5.63,114399.0,192352,0,1,0,0,0,1,0,1,0
27.53,61739.0,225408,0,0,1,0,0,1,0,0,1
27.53,83620.0,225408,0,0,1,0,0,1,0,0,1
27.53,145998.0,225408,0,0,1,0,0,1,0,0,1
27.53,581131.0,225408,0,0,1,0,0,1,0,0,1
30.6,41229.0,167340,0,1,0,0,0,1,0,0,1
30.6,13710.0,167340,0,1,0,0,0,1,0,0,1
30.6,245307.0,167340,0,1,0,0,0,1,0,0,1
6.48,44000.0,188794,0,1,0,0,0,1,0,1,0
6.48,100880.0,188794,0,1,0,0,0,1,0,1,0
6.48,679225.0,188794,0,1,0,0,0,1,0,1,0
6.48,75021.0,188794,0,1,0,0,0,1,0,1,0
15.87,44000.0,188794,0,1,0,0,0,1,0,0,1
15.87,100880.0,188794,0,1,0,0,0,1,0,0,1
15.87,679225.0,188794,0,1,0,0,0,1,0,0,1
15.87,75021.0,188794,0,1,0,0,0,1,0,0,1
11.17,44000.0,188794,0,1,0,0,0,1,0,0,1
11.17,100880.0,188794,0,1,0,0,0,1,0,0,1
11.17,679225.0,188794,0,1,0,0,0,1,0,0,1
11.17,75021.0,188794,0,1,0,0,0,1,0,0,1
27.73,159861.0,165620,0,1,0,0,0,1,0,1,0
27.73,11205.0,165620,0,1,0,0,0,1,0,1,0
27.73,1334784.0,165620,0,1,0,0,0,1,0,1,0
27.73,88206.0,165620,0,1,0,0,0,1,0,1,0
30.85,159861.0,165620,0,1,0,0,0,1,0,0,1
30.85,11205.0,165620,0,1,0,0,0,1,0,0,1
30.85,1334784.0,165620,0,1,0,0,0,1,0,0,1
30.85,88206.0,165620,0,1,0,0,0,1,0,0,1
23.22,159861.0,165620,0,1,0,0,0,1,0,1,0
23.22,11205.0,165620,0,1,0,0,0,1,0,1,0
23.22,1334784.0,165620,0,1,0,0,0,1,0,1,0
23.22,88206.0,165620,0,1,0,0,0,1,0,1,0
26.92,114548.0,198394,0,1,0,0,0,1,0,1,0
26.92,37560.0,198394,0,1,0,0,0,1,0,1,0
26.92,440352.0,198394,0,1,0,0,0,1,0,1,0
67.88,25687.0,193364,0,1,0,0,0,1,0,1,0
67.88,32430.0,193364,0,1,0,0,0,1,0,1,0
67.88,612480.0,193364,0,1,0,0,0,1,0,1,0
6.95,25687.0,193364,0,1,0,0,0,1,0,1,0
6.95,32430.0,193364,0,1,0,0,0,1,0,1,0
6.95,612480.0,193364,0,1,0,0,0,1,0,1,0
9.27,25687.0,193364,0,1,0,0,0,1,0,0,1
9.27,32430.0,193364,0,1,0,0,0,1,0,0,1
9.27,612480.0,193364,0,1,0,0,0,1,0,0,1
16.93,25687.0,193364,0,1,0,0,0,1,0,1,0
16.93,32430.0,193364,0,1,0,0,0,1,0,1,0
16.93,612480.0,193364,0,1,0,0,0,1,0,1,0
13.28,102256.0,266699,0,1,0,0,0,1,0,0,1
13.28,70156.0,266699,0,1,0,0,0,1,0,0,1
13.28,91670.0,266699,0,1,0,0,0,1,0,0,1
13.28,1190627.0,266699,0,1,0,0,0,1,0,0,1
8.1,77545.0,265176,0,1,0,0,0,1,0,1,0
8.1,94699.0,265176,0,1,0,0,0,1,0,1,0
15.87,77545.0,265176,0,1,0,0,0,1,0,1,0
15.87,94699.0,265176,0,1,0,0,0,1,0,1,0
35.52,77545.0,265176,0,1,0,0,0,1,0,0,1
35.52,94699.0,265176,0,1,0,0,0,1,0,0,1
18.83,77545.0,265176,0,1,0,0,0,1,0,1,0
18.83,94699.0,265176,0,1,0,0,0,1,0,1,0
6.95,81706.0,211882,0,1,0,0,0,1,0,0,1
6.95,128646.0,211882,0,1,0,0,0,1,0,0,1
6.95,529056.0,211882,0,1,0,0,0,1,0,0,1
5.82,81706.0,211882,0,1,0,0,0,1,0,1,0
5.82,128646.0,211882,0,1,0,0,0,1,0,1,0
5.82,529056.0,211882,0,1,0,0,0,1,0,1,0
34.28,118480.0,192352,0,0,1,0,0,1,0,1,0
34.28,52553.0,192352,0,0,1,0,0,1,0,1,0
34.28,72302.0,192352,0,0,1,0,0,1,0,1,0
34.28,936672.0,192352,0,0,1,0,0,1,0,1,0
34.28,114399.0,192352,0,0,1,0,0,1,0,1,0
8.52,118480.0,192352,0,0,1,0,0,1,0,0,1
8.52,52553.0,192352,0,0,1,0,0,1,0,0,1
8.52,72302.0,192352,0,0,1,0,0,1,0,0,1
8.52,936672.0,192352,0,0,1,0,0,1,0,0,1
8.52,114399.0,192352,0,0,1,0,0,1,0,0,1
11.72,118480.0,192352,0,1,0,0,0,1,0,1,0
11.72,52553.0,192352,0,1,0,0,0,1,0,1,0
11.72,72302.0,192352,0,1,0,0,0,1,0,1,0
11.72,936672.0,192352,0,1,0,0,0,1,0,1,0
11.72,114399.0,192352,0,1,0,0,0,1,0,1,0
28.37,17479.0,185652,0,0,1,0,0,1,0,1,0
28.37,89061.0,185652,0,0,1,0,0,1,0,1,0
28.37,115331.0,185652,0,0,1,0,0,1,0,1,0
28.37,934208.0,185652,0,0,1,0,0,1,0,1,0
15.6,17479.0,185652,0,0,1,0,0,1,0,1,0
15.6,89061.0,185652,0,0,1,0,0,1,0,1,0
15.6,115331.0,185652,0,0,1,0,0,1,0,1,0
15.6,934208.0,185652,0,0,1,0,0,1,0,1,0
7.1,17479.0,185652,0,1,0,0,0,1,0,0,1
7.1,89061.0,185652,0,1,0,0,0,1,0,0,1
7.1,115331.0,185652,0,1,0,0,0,1,0,0,1
7.1,934208.0,185652,0,1,0,0,0,1,0,0,1
33.3,17479.0,185652,0,1,0,0,0,1,0,0,1
33.3,89061.0,185652,0,1,0,0,0,1,0,0,1
33.3,115331.0,185652,0,1,0,0,0,1,0,0,1
33.3,934208.0,185652,0,1,0,0,0,1,0,0,1
10.4,134848.0,206676,0,1,0,0,0,1,0,0,1
10.4,58302.0,206676,0,1,0,0,0,1,0,0,1
10.4,971872.0,206676,0,1,0,0,0,1,0,0,1
10.4,29665.0,206676,0,1,0,0,0,1,0,0,1
34.3,134848.0,206676,0,1,0,0,0,1,0,0,1
34.3,58302.0,206676,0,1,0,0,0,1,0,0,1
34.3,971872.0,206676,0,1,0,0,0,1,0,0,1
34.3,29665.0,206676,0,1,0,0,0,1,0,0,1
44.75,96549.0,256887,0,1,0,0,0,1,0,0,1
44.75,97566.0,256887,0,1,0,0,0,1,0,0,1
44.75,486112.0,256887,0,1,0,0,0,1,0,0,1
44.75,59275.0,256887,0,1,0,0,0,1,0,0,1
60.75,96549.0,256887,0,1,0,0,0,1,0,1,0
60.75,97566.0,256887,0,1,0,0,0,1,0,1,0
60.75,486112.0,256887,0,1,0,0,0,1,0,1,0
60.75,59275.0,256887,0,1,0,0,0,1,0,1,0
44.93,96549.0,256887,0,1,0,0,0,1,0,0,1
44.93,97566.0,256887,0,1,0,0,0,1,0,0,1
44.93,486112.0,256887,0,1,0,0,0,1,0,0,1
44.93,59275.0,256887,0,1,0,0,0,1,0,0,1
56.85,96549.0,256887,0,1,0,0,0,1,0,0,1
56.85,97566.0,256887,0,1,0,0,0,1,0,0,1
56.85,486112.0,256887,0,1,0,0,0,1,0,0,1
56.85,59275.0,256887,0,1,0,0,0,1,0,0,1
10.97,81706.0,211882,0,1,0,0,0,1,0,0,1
10.97,128646.0,211882,0,1,0,0,0,1,0,0,1
10.97,529056.0,211882,0,1,0,0,0,1,0,0,1
5.65,81706.0,211882,0,1,0,0,0,1,0,0,1
5.65,128646.0,211882,0,1,0,0,0,1,0,0,1
5.65,529056.0,211882,0,1,0,0,0,1,0,0,1
6.93,105712.0,176704,0,1,0,0,0,1,0,1,0
6.93,31229.0,176704,0,1,0,0,0,1,0,1,0
6.93,1602304.0,176704,0,1,0,0,0,1,0,1,0
6.93,133048.0,176704,0,1,0,0,0,1,0,1,0
6.6,105712.0,176704,0,1,0,0,0,1,0,1,0
6.6,31229.0,176704,0,1,0,0,0,1,0,1,0
6.6,1602304.0,176704,0,1,0,0,0,1,0,1,0
6.6,133048.0,176704,0,1,0,0,0,1,0,1,0
6.45,0.0,221066,0,0,1,0,0,1,0,1,0
6.45,60182.0,221066,0,0,1,0,0,1,0,1,0
6.45,39060.0,221066,0,0,1,0,0,1,0,1,0
6.45,203456.0,221066,0,0,1,0,0,1,0,1,0
9.57,0.0,221066,0,1,0,0,0,1,0,1,0
9.57,60182.0,221066,0,1,0,0,0,1,0,1,0
9.57,39060.0,221066,0,1,0,0,0,1,0,1,0
9.57,203456.0,221066,0,1,0,0,0,1,0,1,0
19.38,0.0,221066,0,1,0,0,0,1,0,1,0
19.38,60182.0,221066,0,1,0,0,0,1,0,1,0
19.38,39060.0,221066,0,1,0,0,0,1,0,1,0
19.38,203456.0,221066,0,1,0,0,0,1,0,1,0
122.82,198545.0,217622,0,1,0,0,0,1,0,1,0
122.82,50514.0,217622,0,1,0,0,0,1,0,1,0
122.82,566232.0,217622,0,1,0,0,0,1,0,1,0
36.7,198545.0,217622,0,1,0,0,0,1,0,1,0
36.7,50514.0,217622,0,1,0,0,0,1,0,1,0
36.7,566232.0,217622,0,1,0,0,0,1,0,1,0
17.38,76159.0,153832,0,1,0,0,0,1,0,1,0
17.38,306944.0,153832,0,1,0,0,0,1,0,1,0
21.57,51986.0,191616,0,1,0,0,0,1,0,1,0
21.57,49861.0,191616,0,1,0,0,0,1,0,1,0
21.57,915552.0,191616,0,1,0,0,0,1,0,1,0
44.47,68830.0,246521,0,1,0,0,0,1,0,0,1
44.47,21047.0,246521,0,1,0,0,0,1,0,0,1
44.47,533984.0,246521,0,1,0,0,0,1,0,0,1
8.83,77426.0,239188,0,1,0,0,0,1,0,1,0
8.83,86985.0,239188,0,1,0,0,0,1,0,1,0
8.83,106856.0,239188,0,1,0,0,0,1,0,1,0
8.83,861274.0,239188,0,1,0,0,0,1,0,1,0
9.47,77426.0,239188,0,1,0,0,0,1,0,1,0
9.47,86985.0,239188,0,1,0,0,0,1,0,1,0
9.47,106856.0,239188,0,1,0,0,0,1,0,1,0
9.47,861274.0,239188,0,1,0,0,0,1,0,1,0
8.8,77426.0,239188,0,1,0,0,0,1,0,1,0
8.8,86985.0,239188,0,1,0,0,0,1,0,1,0
8.8,106856.0,239188,0,1,0,0,0,1,0,1,0
8.8,861274.0,239188,0,1,0,0,0,1,0,1,0
46.1,77426.0,239188,0,1,0,0,0,1,0,1,0
46.1,86985.0,239188,0,1,0,0,0,1,0,1,0
46.1,106856.0,239188,0,1,0,0,0,1,0,1,0
46.1,861274.0,239188,0,1,0,0,0,1,0,1,0
12.48,77426.0,239188,0,1,0,0,0,1,0,1,0
12.48,86985.0,239188,0,1,0,0,0,1,0,1,0
12.48,106856.0,239188,0,1,0,0,0,1,0,1,0
12.48,861274.0,239188,0,1,0,0,0,1,0,1,0
8.3,94351.0,225284,0,1,0,0,0,1,0,1,0
8.3,89032.0,225284,0,1,0,0,0,1,0,1,0
19.0,94351.0,225284,0,1,0,0,0,1,0,0,1
19.0,89032.0,225284,0,1,0,0,0,1,0,0,1
47.53,94351.0,225284,0,1,0,0,0,1,0,0,1
47.53,89032.0,225284,0,1,0,0,0,1,0,0,1
7.97,198545.0,217622,0,1,0,0,0,1,0,1,0
7.97,50514.0,217622,0,1,0,0,0,1,0,1,0
7.97,566232.0,217622,0,1,0,0,0,1,0,1,0
14.42,64106.0,238471,0,0,1,0,0,1,0,0,1
14.42,65460.0,238471,0,0,1,0,0,1,0,0,1
14.42,79604.0,238471,0,0,1,0,0,1,0,0,1
14.42,96789.0,238471,0,0,1,0,0,1,0,0,1
21.6,64106.0,238471,0,0,1,0,0,1,0,0,1
21.6,65460.0,238471,0,0,1,0,0,1,0,0,1
21.6,79604.0,238471,0,0,1,0,0,1,0,0,1
21.6,96789.0,238471,0,0,1,0,0,1,0,0,1
50.7,44166.0,225414,0,1,0,0,0,1,0,0,1
50.7,60298.0,225414,0,1,0,0,0,1,0,0,1
50.7,741443.0,225414,0,1,0,0,0,1,0,0,1
16.55,44166.0,225414,0,1,0,0,0,1,0,0,1
16.55,60298.0,225414,0,1,0,0,0,1,0,0,1
16.55,741443.0,225414,0,1,0,0,0,1,0,0,1
16.63,48440.0,203262,0,0,1,0,0,1,0,0,1
16.63,55090.0,203262,0,0,1,0,0,1,0,0,1
16.63,635709.0,203262,0,0,1,0,0,1,0,0,1
35.73,125340.0,216943,0,1,0,0,0,1,0,0,1
35.73,59449.0,216943,0,1,0,0,0,1,0,0,1
35.73,78140.0,216943,0,1,0,0,0,1,0,0,1
35.73,475470.0,216943,0,1,0,0,0,1,0,0,1
18.28,125340.0,216943,0,1,0,0,0,1,0,1,0
18.28,59449.0,216943,0,1,0,0,0,1,0,1,0
18.28,78140.0,216943,0,1,0,0,0,1,0,1,0
18.28,475470.0,216943,0,1,0,0,0,1,0,1,0
9.85,0.0,157356,0,1,0,0,0,1,0,0,1
9.85,68357.0,157356,0,1,0,0,0,1,0,0,1
9.85,47704.0,157356,0,1,0,0,0,1,0,0,1
9.85,990880.0,157356,0,1,0,0,0,1,0,0,1
43.13,0.0,157356,0,1,0,0,0,1,0,0,1
43.13,68357.0,157356,0,1,0,0,0,1,0,0,1
43.13,47704.0,157356,0,1,0,0,0,1,0,0,1
43.13,990880.0,157356,0,1,0,0,0,1,0,0,1
54.45,0.0,157356,0,0,1,0,0,1,0,1,0
54.45,68357.0,157356,0,0,1,0,0,1,0,1,0
54.45,47704.0,157356,0,0,1,0,0,1,0,1,0
54.45,990880.0,157356,0,0,1,0,0,1,0,1,0
18.58,0.0,157356,0,1,0,0,0,1,0,1,0
18.58,68357.0,157356,0,1,0,0,0,1,0,1,0
18.58,47704.0,157356,0,1,0,0,0,1,0,1,0
18.58,990880.0,157356,0,1,0,0,0,1,0,1,0
40.22,36843.0,219934,0,0,1,0,0,1,0,1,0
40.22,63379.0,219934,0,0,1,0,0,1,0,1,0
40.22,728007.0,219934,0,0,1,0,0,1,0,1,0
67.17,36843.0,219934,0,1,0,0,0,1,0,1,0
67.17,63379.0,219934,0,1,0,0,0,1,0,1,0
67.17,728007.0,219934,0,1,0,0,0,1,0,1,0
16.38,108036.0,199048,0,1,0,0,0,1,0,0,1
16.38,51318.0,199048,0,1,0,0,0,1,0,0,1
16.38,84426.0,199048,0,1,0,0,0,1,0,0,1
16.38,941248.0,199048,0,1,0,0,0,1,0,0,1
9.7,108036.0,199048,0,1,0,0,0,1,0,0,1
9.7,51318.0,199048,0,1,0,0,0,1,0,0,1
9.7,84426.0,199048,0,1,0,0,0,1,0,0,1
9.7,941248.0,199048,0,1,0,0,0,1,0,0,1
8.07,108036.0,199048,0,1,0,0,0,1,0,0,1
8.07,51318.0,199048,0,1,0,0,0,1,0,0,1
8.07,84426.0,199048,0,1,0,0,0,1,0,0,1
8.07,941248.0,199048,0,1,0,0,0,1,0,0,1
6.9,108036.0,199048,0,1,0,0,0,1,0,0,1
6.9,51318.0,199048,0,1,0,0,0,1,0,0,1
6.9,84426.0,199048,0,1,0,0,0,1,0,0,1
6.9,941248.0,199048,0,1,0,0,0,1,0,0,1
15.95,33652.0,229558,0,1,0,0,0,1,0,0,1
15.95,60449.0,229558,0,1,0,0,0,1,0,0,1
15.95,1105098.0,229558,0,1,0,0,0,1,0,0,1
15.95,55827.0,229558,0,1,0,0,0,1,0,0,1
17.53,125340.0,216943,0,1,0,0,0,1,0,1,0
17.53,59449.0,216943,0,1,0,0,0,1,0,1,0
17.53,78140.0,216943,0,1,0,0,0,1,0,1,0
17.53,475470.0,216943,0,1,0,0,0,1,0,1,0
5.98,68340.0,173907,0,1,0,0,0,1,0,0,1
5.98,17068.0,173907,0,1,0,0,0,1,0,0,1
5.98,35966.0,173907,0,1,0,0,0,1,0,0,1
5.98,42592.0,173907,0,1,0,0,0,1,0,0,1
5.98,48714.0,173907,0,1,0,0,0,1,0,0,1
52.82,68340.0,173907,0,1,0,0,0,1,0,0,1
52.82,17068.0,173907,0,1,0,0,0,1,0,0,1
52.82,35966.0,173907,0,1,0,0,0,1,0,0,1
52.82,42592.0,173907,0,1,0,0,0,1,0,0,1
52.82,48714.0,173907,0,1,0,0,0,1,0,0,1
7.7,0.0,140664,0,1,0,0,0,1,0,1,0
7.7,92278.0,140664,0,1,0,0,0,1,0,1,0
7.7,91250.0,140664,0,1,0,0,0,1,0,1,0
6.5,0.0,140664,0,1,0,0,0,1,0,1,0
6.5,92278.0,140664,0,1,0,0,0,1,0,1,0
6.5,91250.0,140664,0,1,0,0,0,1,0,1,0
31.47,0.0,140664,0,1,0,0,0,1,0,0,1
31.47,92278.0,140664,0,1,0,0,0,1,0,0,1
31.47,91250.0,140664,0,1,0,0,0,1,0,0,1
