ORG,Prod_Line,Date,Total_Cases_Produced
LOU,LOU5,2/18/2024,85365
LOU,LOU1,2/19/2024,30641
LOU,LOU2,2/19/2024,67648
LOU,LOU4,2/19/2024,120215
LOU,LOU1,2/20/2024,31786
LOU,LOU2,2/20/2024,30252
LOU,LOU4,2/20/2024,193319
LOU,LOU5,2/20/2024,19910
LOU,LOU1,2/21/2024,40455
LOU,LOU2,2/21/2024,67960
LOU,LOU4,2/21/2024,133373
LOU,LOU1,2/22/2024,55796
LOU,LOU2,2/22/2024,42491
LOU,LOU4,2/22/2024,352352
LOU,LOU5,2/22/2024,7372
LOU,LOU1,2/23/2024,15277
LOU,LOU2,2/23/2024,25654
LOU,LOU3,2/23/2024,56962
LOU,LOU4,2/23/2024,249435
LOU,LOU5,2/23/2024,2801
LOU,LOU1,2/24/2024,61634
LOU,LOU2,2/24/2024,46667
LOU,LOU4,2/24/2024,4928
LOU,LOU5,2/24/2024,5151
LOU,LOU1,2/25/2024,32776
LOU,LOU4,2/25/2024,369600
LOU,LOU5,2/25/2024,2011
LOU,LOU1,2/26/2024,46678
LOU,LOU2,2/26/2024,33923
LOU,LOU3,2/26/2024,23013
LOU,LOU4,2/26/2024,361856
LOU,LOU1,2/27/2024,58888
LOU,LOU2,2/27/2024,53373
LOU,LOU3,2/27/2024,60173
LOU,LOU4,2/27/2024,351397
LOU,LOU5,2/27/2024,19667
LOU,LOU1,2/28/2024,64444
LOU,LOU2,2/28/2024,59306
LOU,LOU3,2/28/2024,88894
LOU,LOU4,2/28/2024,9195
LOU,LOU1,2/29/2024,71558
LOU,LOU2,2/29/2024,78917
LOU,LOU5,2/29/2024,41407
LOU,LOU1,3/1/2024,9411
LOU,LOU2,3/1/2024,51014
LOU,LOU1,3/2/2024,79046
LOU,LOU2,3/2/2024,78605
LOU,LOU1,3/4/2024,50194
LOU,LOU2,3/4/2024,45842
LOU,LOU4,3/4/2024,615296
LOU,LOU1,3/5/2024,119602
LOU,LOU2,3/5/2024,65485
LOU,LOU4,3/5/2024,1498816
LOU,LOU5,3/5/2024,76013
LOU,LOU2,3/6/2024,44629
LOU,LOU3,3/6/2024,72512
LOU,LOU4,3/6/2024,533632
LOU,LOU1,3/7/2024,31984
LOU,LOU2,3/7/2024,94861
LOU,LOU3,3/7/2024,50469
LOU,LOU4,3/7/2024,39983
LOU,LOU1,3/8/2024,112730
LOU,LOU2,3/8/2024,104154
LOU,LOU3,3/8/2024,22603
LOU,LOU4,3/8/2024,86731
LOU,LOU1,3/9/2024,21174
LOU,LOU2,3/9/2024,46710
LOU,LOU3,3/9/2024,24166
LOU,LOU4,3/9/2024,96246
LOU,LOU5,3/9/2024,32641
LOU,LOU1,3/10/2024,86258
LOU,LOU2,3/10/2024,34188
LOU,LOU3,3/10/2024,74731
LOU,LOU4,3/10/2024,85756
LOU,LOU5,3/10/2024,48463
LOU,LOU1,3/11/2024,40304
LOU,LOU2,3/11/2024,58581
LOU,LOU3,3/11/2024,41947
LOU,LOU4,3/11/2024,359040
LOU,LOU1,3/12/2024,82659
